fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,tackles_blocks,duels_total,duels_won,dribbles_past,fouls_committed,tackles_interceptions,fouls_drawn,shots_total,dribbles_attempts,dribbles_success,offsides,passes_key,shots_on,goals_assists,goals_total,penalty_won,penalty_commited
1049034,Werder Bremen,162,88033,Christian Groß,https://media.api-sports.io/football/players/88033.png,1.0,36,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1049034,Werder Bremen,162,25310,Jiří Pavlenka,https://media.api-sports.io/football/players/25310.png,,1,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1049034,Werder Bremen,162,289460,Julián Malatini,https://media.api-sports.io/football/players/289460.png,,22,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1049034,Werder Bremen,162,369768,Kein Sato,https://media.api-sports.io/football/players/369768.png,,24,F,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1049034,Werder Bremen,162,24843,Nicolai Rapp,https://media.api-sports.io/football/players/24843.png,,23,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1049038,Borussia Monchengladbach,163,25626,Moritz Nicolas,https://media.api-sports.io/football/players/25626.png,90.0,33,G,7.3,False,False,2,5.0,32.0,27,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
1049038,Borussia Monchengladbach,163,50852,Joseph Scally,https://media.api-sports.io/football/players/50852.png,90.0,29,D,6.9,False,False,0,,63.0,52,0,0,0,0,,3.0,,16.0,11.0,1.0,1.0,2.0,7.0,,1.0,,,,,,,,
1049038,Borussia Monchengladbach,163,24839,Marvin Friedrich,https://media.api-sports.io/football/players/24839.png,90.0,5,D,6.6,False,False,0,,38.0,34,0,0,0,0,,,2.0,5.0,2.0,1.0,1.0,,,1.0,1.0,,,,,,,,
1049038,Borussia Monchengladbach,163,2803,Nico Elvedi,https://media.api-sports.io/football/players/2803.png,90.0,30,D,7.2,False,False,0,,67.0,58,0,0,0,0,,,1.0,15.0,12.0,,,,3.0,1.0,,,,,,,,,
1049038,Borussia Monchengladbach,163,163069,Luca Netz,https://media.api-sports.io/football/players/163069.png,71.0,20,D,6.5,False,False,0,,37.0,33,1,0,0,0,,3.0,1.0,15.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,1.0,,,,
1049038,Borussia Monchengladbach,163,20784,Franck Honorat,https://media.api-sports.io/football/players/20784.png,87.0,9,M,7.7,False,False,0,,33.0,29,0,0,0,0,,,,4.0,3.0,,,1.0,,1.0,3.0,2.0,1.0,5.0,1.0,,,,
1049038,Borussia Monchengladbach,163,203007,Rocco Reitz,https://media.api-sports.io/football/players/203007.png,45.0,27,M,7.2,False,False,0,,18.0,15,0,0,0,0,,1.0,,4.0,3.0,,,1.0,2.0,,,,,1.0,,,,,
1049038,Borussia Monchengladbach,163,22147,Manu Koné,https://media.api-sports.io/football/players/22147.png,71.0,17,M,7.2,False,False,0,,37.0,31,0,0,0,0,,4.0,,10.0,6.0,1.0,1.0,1.0,1.0,,,,,2.0,,,,,
1049038,Borussia Monchengladbach,163,725,Robin Hack,https://media.api-sports.io/football/players/725.png,67.0,25,M,6.9,False,False,0,,30.0,24,0,0,0,0,,,,4.0,3.0,,1.0,1.0,2.0,2.0,2.0,1.0,,1.0,,,,,
1049038,Borussia Monchengladbach,163,25646,Alassane Pléa,https://media.api-sports.io/football/players/25646.png,90.0,14,F,7.2,True,False,0,,43.0,34,0,0,0,0,,,,4.0,,1.0,,1.0,,4.0,1.0,,,4.0,,,,,
1049038,Borussia Monchengladbach,163,2219,Jordan Siebatcheu,https://media.api-sports.io/football/players/2219.png,90.0,13,F,7.9,False,False,0,,18.0,14,0,0,0,0,,2.0,,12.0,6.0,,3.0,,1.0,3.0,,,,2.0,2.0,,1.0,,
1049038,Borussia Monchengladbach,163,25637,Christoph Kramer,https://media.api-sports.io/football/players/25637.png,45.0,23,M,6.6,False,True,0,,35.0,30,0,0,0,0,,1.0,,3.0,3.0,,,,,,,,,,,,,,
1049038,Borussia Monchengladbach,163,22148,Nathan N'Goumou,https://media.api-sports.io/football/players/22148.png,23.0,19,M,6,False,True,0,,16.0,11,0,0,0,0,,,,3.0,,,,,,1.0,2.0,,,,,,,,
