fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,duels_total,duels_won,dribbles_attempts,dribbles_success,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,shots_total,shots_on,passes_key,tackles_total,tackles_interceptions,fouls_drawn,fouls_committed,goals_assists,tackles_blocks,goals_total,dribbles_past,offsides,penalty_commited,penalty_won
1126342,BK Hacken,367,404169,Pontus Dahbo,https://media.api-sports.io/football/players/404169.png,19.0,16,M,6.9,False,True,0,,6.0,6,4.0,2.0,,,0,0,0,0,,1.0,1.0,,,1.0,2.0,,,,,,,,
1126342,BK Hacken,367,266792,Srđan Hrstić,https://media.api-sports.io/football/players/266792.png,19.0,19,F,6.3,False,True,0,,7.0,7,1.0,,1.0,,0,0,0,0,,,,,,,,,,,,,,,
1126342,BK Hacken,367,328978,Momodou Sonko,https://media.api-sports.io/football/players/328978.png,19.0,23,F,6.2,False,True,0,,8.0,7,6.0,,4.0,,0,0,0,0,,,,1.0,,,,1.0,,,,1.0,,,
1126342,BK Hacken,367,48012,Johan Hammar,https://media.api-sports.io/football/players/48012.png,14.0,3,D,6.9,False,True,0,,8.0,8,,,,,0,0,0,0,,,,,,,,,,1.0,,,,,
1126342,BK Hacken,367,57438,Tomas Totland,https://media.api-sports.io/football/players/57438.png,14.0,21,D,6.6,False,True,0,,12.0,10,,,,,0,0,0,0,,,,,,1.0,,,,,,,,,
1126342,BK Hacken,367,328972,Sebastian Banožić,https://media.api-sports.io/football/players/328972.png,,30,G,,False,True,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,
1126342,BK Hacken,367,48341,Johan Brattberg,https://media.api-sports.io/football/players/48341.png,,1,G,,False,True,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,
1126342,BK Hacken,367,437776,Abdoulaye Faye,https://media.api-sports.io/football/players/437776.png,,25,D,,False,True,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,
1126342,BK Hacken,367,15591,Tobias Sana,https://media.api-sports.io/football/players/15591.png,,22,M,,False,True,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,
1126342,BK Hacken,367,255121,Ishaq Abdulrazak,https://media.api-sports.io/football/players/255121.png,,8,M,,False,True,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,
