fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,dribbles_past,goals_total,goals_assists,offsides,penalty_commited,penalty_won
97,Manchester United,33,893,Antonio Valencia,https://media.api-sports.io/football/players/893.png,90,25,D,7.4,True,False,0,0,0.0,,40,2.0,87%,0,2,4.0,3.0,1.0,1.0,0,1,0,0,0,0,,2.0,,,,,,
97,Manchester United,33,892,Chris Smalling,https://media.api-sports.io/football/players/892.png,90,12,D,7.1,False,False,1,0,0.0,,40,0.0,95%,1,3,10.0,3.0,0.0,0.0,0,0,0,0,0,0,,,1.0,,,,,
97,Manchester United,33,889,Victor Lindelöf,https://media.api-sports.io/football/players/889.png,90,2,D,6.8,False,False,0,0,0.0,,46,0.0,90%,0,0,8.0,2.0,0.0,0.0,0,1,0,0,0,0,,1.0,1.0,,,,,
97,Manchester United,33,891,Luke Shaw,https://media.api-sports.io/football/players/891.png,90,23,D,7.1,False,False,3,2,0.0,,42,1.0,89%,0,0,6.0,2.0,0.0,0.0,1,2,1,0,0,0,,,1.0,,,,,
97,Manchester United,33,904,Paul Pogba,https://media.api-sports.io/football/players/904.png,89,6,M,6.3,False,False,2,1,0.0,,57,4.0,85%,0,0,10.0,3.0,1.0,0.0,2,2,0,0,0,1,,,1.0,,,,,
97,Manchester United,33,12753,Marouane Fellaini,https://media.api-sports.io/football/players/12753.png,90,27,M,7.0,False,False,0,0,0.0,,49,0.0,92%,0,0,12.0,8.0,0.0,0.0,0,1,0,0,0,0,,1.0,,,,,,
97,Manchester United,33,902,Nemanja Matić,https://media.api-sports.io/football/players/902.png,90,31,M,7.0,False,False,1,0,0.0,,60,0.0,88%,0,1,3.0,3.0,0.0,0.0,1,0,0,0,0,0,,,,,,,,
97,Manchester United,33,900,Jesse Lingard,https://media.api-sports.io/football/players/900.png,76,14,F,7.0,False,False,4,0,0.0,,39,1.0,90%,0,0,5.0,3.0,3.0,2.0,1,0,0,0,0,0,,,,,,,,
97,Manchester United,33,907,Romelu Lukaku,https://media.api-sports.io/football/players/907.png,90,9,F,8.5,False,False,5,4,0.0,,19,4.0,82%,0,0,15.0,5.0,3.0,2.0,0,4,1,0,0,0,,,,2.0,,1.0,,
97,Manchester United,33,910,Alexis Sánchez,https://media.api-sports.io/football/players/910.png,61,7,F,7.9,False,False,3,1,0.0,,30,4.0,76%,0,0,10.0,4.0,2.0,1.0,1,2,1,0,0,0,,2.0,,,1.0,,,
97,Manchester United,33,885,Eric Bailly,https://media.api-sports.io/football/players/885.png,1,3,D,–,False,False,0,0,0.0,,0,0.0,0%,0,0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,,,,,,,,
97,Manchester United,33,898,Ander Herrera,https://media.api-sports.io/football/players/898.png,14,21,M,6.7,False,False,2,1,0.0,,3,0.0,100%,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,,,,,
97,Manchester United,33,909,Marcus Rashford,https://media.api-sports.io/football/players/909.png,10,10,F,6.3,False,False,0,0,0.0,,3,1.0,100%,0,0,1.0,1.0,0.0,0.0,1,0,0,1,0,0,,,,,,,,1.0
105,Tottenham,47,160,Michel Vorm,https://media.api-sports.io/football/players/160.png,90,13,G,7.9,False,False,0,0,2.0,8.0,22,0.0,78%,0,0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0,,,,,,,
105,Tottenham,47,169,Kieran Trippier,https://media.api-sports.io/football/players/169.png,90,2,D,6.2,False,False,0,0,0.0,,41,0.0,67%,0,0,6.0,3.0,1.0,0.0,1,2,0,0,0,0,,,,,,,,
105,Tottenham,47,162,Toby Alderweireld,https://media.api-sports.io/football/players/162.png,90,4,D,7.2,False,False,0,0,0.0,,86,0.0,89%,2,1,4.0,2.0,0.0,0.0,0,0,0,0,0,0,,2.0,1.0,,,1.0,,
105,Tottenham,47,170,Jan Vertonghen,https://media.api-sports.io/football/players/170.png,90,5,D,6.8,False,False,1,0,0.0,,66,0.0,89%,0,3,10.0,6.0,1.0,1.0,1,2,0,0,0,0,,1.0,2.0,,,,,
105,Tottenham,47,167,Danny Rose,https://media.api-sports.io/football/players/167.png,90,3,D,6.3,False,False,1,0,0.0,,29,0.0,64%,0,1,8.0,4.0,2.0,1.0,3,2,0,0,0,0,,,,,,,,
105,Tottenham,47,175,Eric Dier,https://media.api-sports.io/football/players/175.png,83,15,M,6.5,False,False,1,0,0.0,,41,0.0,82%,0,0,3.0,3.0,0.0,0.0,1,0,0,0,0,0,,1.0,,,,,,
105,Tottenham,47,2921,Mousa Dembélé,https://media.api-sports.io/football/players/2921.png,60,19,M,6.3,False,False,0,0,0.0,,32,0.0,88%,0,0,9.0,5.0,2.0,2.0,0,2,0,0,0,0,,1.0,,,,,,
105,Tottenham,47,182,Harry Winks,https://media.api-sports.io/football/players/182.png,73,8,M,6.6,False,False,0,0,0.0,,39,0.0,79%,0,0,5.0,2.0,1.0,1.0,0,2,0,0,0,0,,1.0,,,,,,
105,Tottenham,47,174,Christian Eriksen,https://media.api-sports.io/football/players/174.png,90,23,M,6.9,False,False,2,1,0.0,,39,3.0,81%,0,1,7.0,2.0,1.0,0.0,1,0,0,0,0,0,,,2.0,,1.0,,,
105,Tottenham,47,184,Harry Kane,https://media.api-sports.io/football/players/184.png,90,10,F,6.6,True,False,2,1,0.0,,9,0.0,64%,0,0,9.0,3.0,1.0,0.0,1,2,0,0,0,0,,,,,,,,
105,Tottenham,47,178,Lucas Moura,https://media.api-sports.io/football/players/178.png,90,27,F,6.6,False,False,1,0,0.0,,11,1.0,68%,0,0,17.0,6.0,5.0,1.0,1,2,0,0,0,0,,3.0,1.0,,,2.0,,
105,Tottenham,47,176,Érik Lamela,https://media.api-sports.io/football/players/176.png,30,11,M,7.2,False,True,3,1,0.0,,11,1.0,78%,0,0,8.0,4.0,0.0,0.0,3,2,0,0,0,0,,,,1.0,,,,
105,Tottenham,47,181,Victor Wanyama,https://media.api-sports.io/football/players/181.png,7,12,M,6.4,False,True,0,0,0.0,,8,0.0,88%,0,0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,,,,,,,,
105,Tottenham,47,186,Heung-Min Son,https://media.api-sports.io/football/players/186.png,17,7,F,6.7,False,True,0,0,0.0,,9,1.0,100%,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,,,,,,,,
105,Liverpool,40,280,Alisson,https://media.api-sports.io/football/players/280.png,90,13,G,6.6,False,False,0,0,1.0,2.0,17,0.0,68%,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,,,,,,,
105,Liverpool,40,283,Trent Alexander-Arnold,https://media.api-sports.io/football/players/283.png,89,66,D,7.2,False,False,1,1,0.0,,25,0.0,64%,0,2,3.0,2.0,0.0,0.0,0,1,0,0,0,0,,2.0,,,,,,
105,Liverpool,40,284,Joe Gomez,https://media.api-sports.io/football/players/284.png,90,12,D,6.9,False,False,0,0,0.0,,27,0.0,77%,1,0,11.0,9.0,1.0,1.0,1,0,0,0,0,0,,3.0,1.0,,,,,
105,Liverpool,40,290,Virgil van Dijk,https://media.api-sports.io/football/players/290.png,90,4,D,6.7,False,False,2,0,0.0,,22,0.0,78%,0,1,8.0,3.0,0.0,0.0,1,3,0,0,0,0,,1.0,,,,,,
105,Liverpool,40,289,Andrew Robertson,https://media.api-sports.io/football/players/289.png,90,26,D,7.0,False,False,0,0,0.0,,32,1.0,68%,0,0,9.0,7.0,1.0,1.0,1,0,0,0,0,0,,4.0,1.0,,,,,
105,Liverpool,40,296,James Milner,https://media.api-sports.io/football/players/296.png,90,7,M,7.2,True,False,0,0,0.0,,34,3.0,73%,0,0,11.0,6.0,0.0,0.0,1,2,0,0,0,0,,5.0,2.0,,,,,
105,Liverpool,40,300,Georginio Wijnaldum,https://media.api-sports.io/football/players/300.png,90,5,M,7.4,False,False,2,1,0.0,,26,1.0,89%,1,1,6.0,3.0,0.0,0.0,2,1,0,0,0,0,,,1.0,1.0,,,,
105,Liverpool,40,294,Naby Keïta,https://media.api-sports.io/football/players/294.png,83,8,M,6.4,False,False,2,2,0.0,,24,0.0,85%,0,1,8.0,2.0,1.0,0.0,1,3,0,0,0,0,,1.0,,,,,,
105,Liverpool,40,306,Mohamed Salah,https://media.api-sports.io/football/players/306.png,90,11,F,7.0,False,False,4,2,0.0,,11,3.0,78%,0,0,6.0,4.0,4.0,3.0,1,1,0,0,0,0,,,,,,,,
105,Liverpool,40,302,Roberto Firmino,https://media.api-sports.io/football/players/302.png,74,9,F,7.1,False,False,1,1,0.0,,24,1.0,80%,0,0,11.0,2.0,1.0,0.0,0,1,0,0,0,0,,1.0,2.0,1.0,,,,
105,Liverpool,40,304,Sadio Mané,https://media.api-sports.io/football/players/304.png,90,10,F,7.9,False,False,5,3,0.0,,15,2.0,68%,0,1,11.0,7.0,1.0,1.0,6,2,0,0,0,0,,,,,,2.0,,
105,Liverpool,40,286,Joël Matip,https://media.api-sports.io/football/players/286.png,1,32,D,–,False,False,0,0,0.0,,0,0.0,0%,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,,,,,
