fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_assists,goals_saves,passes_total,passes_accuracy,duels_total,duels_won,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,dribbles_attempts,dribbles_success,dribbles_past,fouls_committed,tackles_interceptions,fouls_drawn,passes_key,tackles_blocks,offsides,shots_total,shots_on,goals_total,penalty_commited,penalty_won
1208702,Barcelona,529,296667,Gavi,https://media.api-sports.io/football/players/296667.png,66.0,6,M,6.6,False,False,0,0.0,,22.0,20,8.0,4.0,1,0,0,0,,1.0,,,1.0,3.0,1.0,1.0,,,,,,,,
1208702,Barcelona,529,1496,Raphinha,https://media.api-sports.io/football/players/1496.png,90.0,11,M,6.7,False,False,0,0.0,,22.0,19,7.0,1.0,0,0,0,0,,,1.0,,2.0,2.0,,,1.0,,,6.0,3.0,,,
1208702,Barcelona,529,521,Robert Lewandowski,https://media.api-sports.io/football/players/521.png,81.0,9,F,7.3,False,False,0,0.0,,20.0,13,9.0,4.0,0,0,1,0,,,2.0,1.0,1.0,1.0,1.0,1.0,,,1.0,3.0,1.0,1.0,,
1208702,Barcelona,529,1257,Jules Koundé,https://media.api-sports.io/football/players/1257.png,24.0,23,D,6.6,False,True,0,0.0,,15.0,13,2.0,2.0,0,0,0,0,,,2.0,2.0,,,,,,,,,,,,
1208702,Barcelona,529,1323,Dani Olmo,https://media.api-sports.io/football/players/1323.png,24.0,20,M,7,False,True,0,0.0,,12.0,11,4.0,2.0,0,0,0,0,,,2.0,1.0,,,,1.0,1.0,,,,,,,
1208702,Barcelona,529,619,Eric García,https://media.api-sports.io/football/players/619.png,9.0,24,D,6.9,False,True,0,0.0,,9.0,8,,,0,0,0,0,,,,,,,1.0,,,,,,,,,
1208702,Barcelona,529,931,Ferran Torres,https://media.api-sports.io/football/players/931.png,9.0,7,F,6.5,False,True,0,0.0,,1.0,1,3.0,,1,0,0,0,,,,,,2.0,,,,,,,,,,
1208702,Barcelona,529,329728,Marc Casadó,https://media.api-sports.io/football/players/329728.png,9.0,17,M,6.3,False,True,0,0.0,,2.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,
1208702,Barcelona,529,126,Iñaki Peña,https://media.api-sports.io/football/players/126.png,,13,G,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
1208702,Barcelona,529,383647,Diego Kochen,https://media.api-sports.io/football/players/383647.png,,31,G,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
1208702,Barcelona,529,101814,Ronald Araújo,https://media.api-sports.io/football/players/101814.png,,4,D,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
1208702,Barcelona,529,181701,Gerard Martín,https://media.api-sports.io/football/players/181701.png,,35,D,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
